TEAM,G,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF,MINPG
éOâÕ,60,5078,84.6,1912,3887,49.20%,393,1073,36.60%,861,1117,77.10%,648,1721,2369,39.5,1225,20.4,657,354,142,143,935,1145,105,202:00:00
êÁót,60,5072,84.5,1924,3920,49.10%,455,1325,34.30%,769,1142,67.30%,652,1563,2215,36.9,1265,21.1,735,512,219,127,1019,1152,103,200:00:00
êÏçË,60,4942,82.4,1828,3889,47.00%,421,1162,36.20%,865,1160,74.60%,701,1571,2272,37.9,1266,21.1,732,399,130,162,972,1102,99,201:00:00
êVäÉ,60,4857,81,1762,3849,45.80%,467,1369,34.10%,866,1101,78.70%,593,1605,2198,36.6,974,16.2,661,313,131,181,1083,1116,92,201:00:00
ñkäCìπ,60,4766,79.4,1759,3861,45.60%,377,1098,34.30%,871,1138,76.50%,642,1455,2097,35,1292,21.5,782,480,192,153,1126,1136,95,201:00:00
Aìåãû,60,4754,79.2,1757,3762,46.70%,381,1065,35.80%,859,1126,76.30%,660,1596,2256,37.6,1101,18.4,637,395,187,155,1067,1081,96,200:00:00
ñºå√âÆD,60,4753,79.2,1747,3851,45.40%,528,1501,35.20%,731,989,73.90%,555,1615,2170,36.2,1168,19.5,742,391,125,134,1012,1045,92,202:00:00
ãûìs,60,4683,78.1,1656,3640,45.50%,432,1237,34.90%,939,1328,70.70%,653,1474,2127,35.5,1050,17.5,751,374,118,139,1095,1266,87,200:00:00
ïxéR,60,4644,77.4,1791,4083,43.90%,410,1168,35.10%,652,904,72.10%,661,1607,2268,37.8,1177,19.6,709,367,169,200,1238,978,90,200:00:00
â°ïl,60,4522,75.4,1714,3871,44.30%,319,1002,31.80%,775,1132,68.50%,652,1499,2151,35.9,1195,19.9,791,437,213,170,1155,1134,87,200:00:00
óÆãÖ,60,4495,74.9,1646,3666,44.90%,529,1453,36.40%,674,981,68.70%,659,1627,2286,38.1,1177,19.6,847,434,206,143,1146,1006,90,201:00:00
ì»ñÿ,60,4494,74.9,1752,4063,43.10%,357,1090,32.80%,633,901,70.30%,758,1503,2261,37.7,1081,18,646,465,147,176,1150,987,87,200:00:00
ëÂç„,60,4418,73.6,1637,3805,43.00%,362,1118,32.40%,782,1049,74.50%,664,1581,2245,37.4,1106,18.4,812,392,177,158,1154,1112,85,200:00:00
é†âÍ,60,4416,73.6,1705,3830,44.50%,305,986,30.90%,701,1033,67.90%,684,1574,2258,37.6,1196,19.9,820,421,221,172,1151,1064,87,201:00:00
éOâì,60,4370,72.8,1593,3661,43.50%,459,1336,34.40%,725,1081,67.10%,500,1692,2192,36.5,1035,17.3,725,324,109,165,930,1092,81,201:00:00
êºã{,60,4328,72.1,1653,4066,40.70%,335,1027,32.60%,687,925,74.30%,691,1484,2175,36.3,892,14.9,736,460,159,202,1215,1061,77,200:00:00
SRèaíJ,60,4276,71.3,1639,3996,41.00%,369,1173,31.50%,629,872,72.10%,738,1590,2328,38.8,1012,16.9,717,431,141,173,997,964,81,200:00:00
ìáç™,60,4253,70.9,1645,3885,42.30%,359,1071,33.50%,604,850,71.10%,666,1547,2213,36.9,1020,17,790,360,169,202,1184,969,79,200:00:00
