DAY,TEAM,VS,PTS,F3GM,F3GA,F3GP,F2GM,F2GA,F2GP,FTM,FTA,FTP,F,FO,OR,DR,TR,TO,AS,ST,BS,BSR,DUNK,EFF,MIN
2018.05.06,三河,三河vs川崎,86,4,19,21.10%,29,49,59.20%,16,22,72.70%,15,18,14,24,38,8,15,7,3,0,2,100,200:00:00
2018.05.05,三河,三河vs川崎,62,7,27,25.90%,18,43,41.90%,5,8,62.50%,16,9,15,24,39,11,21,7,0,3,2,70,200:00:00
2018.05.02,三河,名古屋Dvs三河,78,7,23,30.40%,23,41,56.10%,11,16,68.80%,13,17,10,29,39,9,23,5,1,0,1,98,200:00:00
2018.04.29,三河,富山vs三河,92,7,18,38.90%,21,42,50%,29,30,96.70%,15,20,13,28,41,11,17,2,2,1,1,110,200:00:00
2018.04.28,三河,富山vs三河,75,9,27,33.30%,18,42,42.90%,12,16,75%,19,19,10,30,40,8,20,5,2,2,1,88,200:00:00
2018.04.22,三河,三河vs琉球,69,6,22,27.30%,18,41,43.90%,15,19,78.90%,14,20,14,29,43,6,13,6,3,3,0,85,200:00:00
2018.04.21,三河,三河vs琉球,70,2,10,20%,26,57,45.60%,12,14,85.70%,17,17,15,24,39,12,20,5,2,7,1,83,200:00:00
2018.04.15,三河,三河vs島根,99,6,11,54.50%,32,57,56.10%,17,19,89.50%,15,21,13,28,41,11,21,5,3,3,0,126,200:00:00
2018.04.14,三河,三河vs島根,93,10,23,43.50%,23,37,62.20%,17,21,81%,15,21,7,23,30,9,26,6,1,1,1,116,200:00:00
2018.04.08,三河,千葉vs三河,102,9,16,56.30%,29,53,54.70%,17,18,94.40%,16,16,16,24,40,12,25,4,0,3,0,127,200:00:00
2018.04.07,三河,千葉vs三河,77,6,17,35.30%,23,41,56.10%,13,16,81.30%,21,18,6,24,30,16,24,5,1,4,6,89,200:00:00
2018.04.01,三河,三遠vs三河,92,4,11,36.40%,30,61,49.20%,20,24,83.30%,13,21,10,34,44,13,24,8,5,2,1,118,225:00:00
2018.03.31,三河,三遠vs三河,84,4,15,26.70%,33,55,60%,6,6,100%,14,11,10,36,46,4,25,6,1,2,1,125,200:00:00
2018.03.28,三河,三河vs名古屋D,91,9,25,36%,24,46,52.20%,16,25,64%,17,24,8,33,41,9,21,2,3,1,2,102,225:00:00
2018.03.25,三河,横浜vs三河,89,6,11,54.50%,28,48,58.30%,15,21,71.40%,15,22,5,30,35,11,22,7,2,1,0,113,200:00:00
2018.03.24,三河,横浜vs三河,92,4,18,22.20%,32,50,64%,16,17,94.10%,20,15,9,32,41,16,27,11,7,1,2,129,200:00:00
2018.03.18,三河,SR渋谷vs三河,81,6,15,40%,23,40,57.50%,17,25,68%,16,20,7,34,41,14,18,5,4,2,2,101,200:00:00
2018.03.17,三河,SR渋谷vs三河,74,4,19,21.10%,24,52,46.20%,14,21,66.70%,7,19,17,34,51,5,17,6,1,4,1,94,200:00:00
2018.03.12,三河,三河vs北海道,95,6,17,35.30%,32,53,60.40%,13,17,76.50%,15,19,13,24,37,9,19,7,3,4,3,116,200:00:00
2018.03.11,三河,三河vs北海道,81,10,19,52.60%,23,52,44.20%,5,12,41.70%,14,13,18,27,45,13,18,9,2,6,2,97,200:00:00
2018.03.04,三河,滋賀vs三河,108,8,21,38.10%,32,50,64%,20,23,87%,18,25,8,32,40,16,31,10,3,4,1,142,250:00:00
2018.03.03,三河,滋賀vs三河,78,8,23,34.80%,21,44,47.70%,12,15,80%,14,17,17,26,43,12,21,10,4,4,3,103,200:00:00
2018.02.18,三河,三河vs富山,72,3,18,16.70%,26,41,63.40%,11,14,78.60%,13,20,6,28,34,8,24,5,2,1,1,96,200:00:00
2018.02.17,三河,三河vs富山,76,5,20,25%,21,46,45.70%,19,25,76%,12,24,14,34,48,6,17,6,1,2,0,96,200:00:00
2018.02.12,三河,三河vs三遠,87,6,10,60%,29,59,49.20%,11,13,84.60%,19,17,9,28,37,9,15,4,2,1,1,100,200:00:00
2018.02.11,三河,三河vs三遠,89,7,20,35%,26,45,57.80%,16,25,64%,19,21,14,29,43,7,17,3,3,2,0,107,200:00:00
2018.02.04,三河,三河vs栃木,81,10,19,52.60%,17,39,43.60%,17,20,85%,18,20,6,28,34,8,19,5,3,3,0,100,200:00:00
