TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
愛媛,11,チェハーレス・タプスコット,PF,60,0,1738:11:00,28:58:00,1324,22.1,470,956,49.20%,57,180,31.70%,327,413,79.20%,155,403,558,9.3,246,4.1,107,63,34,43,133,361,26
香川,2,レジナルド・ウォーレン,PF,60,58,1853:01:00,30:53:00,1254,20.9,487,1068,45.60%,91,299,30.40%,189,306,61.80%,200,559,759,12.7,172,2.9,116,54,19,32,125,254,24
金沢,12,アンドリュー・フィッツジェラルド,PF,60,60,1689:28:00,28:09:00,1224,20.4,494,893,55.30%,0,8,0.00%,236,327,72.20%,156,375,531,8.9,125,2.1,96,46,25,29,166,250,23
熊本,8,ジョッシュ・ドゥインカー,C,60,50,1542:39:00,25:42:00,1063,17.7,370,751,49.30%,72,181,39.80%,251,323,77.70%,110,492,602,10,152,2.5,133,46,22,25,116,276,22
群馬,1,トーマス・ケネディ,SF/PF,60,9,1317:17:00,21:57,1049,17.5,363,819,44.30%,98,299,32.80%,225,259,86.90%,78,234,312,5.2,103,1.7,97,59,13,33,137,191,16
福岡,11,エリック・ジェイコブセン,PF/C,55,55,1638:22:00,29:47:00,1036,18.8,382,647,59.00%,24,65,36.90%,248,340,72.90%,153,290,443,8.1,100,1.8,119,38,38,25,135,304,21
茨城,7,リック・リカート,C,60,41,1416:34:00,23:36,974,16.2,383,775,49.40%,44,127,34.60%,164,216,75.90%,152,424,576,9.6,117,2,71,24,12,21,117,217,20
山形,2,ウィル・クリークモア,PF/C,56,48,1577:12:00,28:09:00,958,17.1,336,729,46.10%,67,189,35.40%,219,311,70.40%,119,376,495,8.8,151,2.7,135,45,37,26,161,270,19
山形,11,ビリー・マクシェパード,PF,56,7,1367:02:00,24:24:00,943,16.8,345,777,44.40%,78,258,30.20%,175,237,73.80%,101,395,496,8.9,103,1.8,119,63,53,32,119,197,19
福岡,22,ジョシュ・ペッパーズ,PF,58,4,1463:23:00,25:13:00,915,15.8,329,715,46.00%,69,214,32.20%,188,249,75.50%,63,263,326,5.6,191,3.3,121,79,28,18,149,210,17
青森,11,ジョセフ・バートン,PF/C,49,12,1217:50:00,24:51:00,866,17.7,335,662,50.60%,0,13,0.00%,196,272,72.10%,103,318,421,8.6,257,5.2,204,93,10,26,132,250,21
群馬,13,ライアン・ステファン,C,51,36,1235:53:00,24:13:00,864,16.9,326,633,51.50%,51,134,38.10%,161,223,72.20%,118,326,444,8.7,87,1.7,80,31,25,31,121,212,20
仙台,41,クレイグ・ウィリアムス・ジュニア,C,60,35,1482:45:00,24:42:00,829,13.8,302,712,42.40%,101,270,37.40%,124,155,80.00%,89,432,521,8.7,169,2.8,138,35,33,15,177,157,17
福島,1,ソロモン・ アラビ,C,60,23,1304:17:00,21:44,824,13.7,310,528,58.70%,1,4,25.00%,203,257,79.00%,134,385,519,8.7,86,1.4,128,31,91,14,169,217,19
福島,23,ディオン・ジョーンズ,SF/PF,60,13,1207:49:00,20:07,817,13.6,263,578,45.50%,54,164,32.90%,237,320,74.10%,59,262,321,5.4,131,2.2,82,35,17,30,111,249,14
奈良,6,チリジ・ネパウエ,C,60,59,1392:43:00,23:12,813,13.6,325,645,50.40%,0,5,0.00%,163,238,68.50%,105,345,450,7.5,67,1.1,181,27,50,41,167,219,14
信州,55,アンソニー・マクヘンリー,F,58,27,1495:22:00,25:46:00,789,13.6,293,654,44.80%,53,168,31.50%,150,207,72.50%,97,394,491,8.5,229,3.9,128,86,73,27,122,189,19
茨城,27,眞庭 城聖,PF,60,60,1889:04:00,31:29:00,785,13.1,256,607,42.20%,110,287,38.30%,163,200,81.50%,31,187,218,3.6,203,3.4,153,43,14,12,127,200,12
熊本,30,テレンス・ウッドベリー,F/C,47,2,970:16:00,20:38,771,16.4,277,566,48.90%,65,195,33.30%,152,182,83.50%,18,174,192,4.1,74,1.6,94,37,11,20,84,151,14
FE名古屋,24,ジョシュ・ホーキンソン,C,60,30,1455:43:00,24:15:00,769,12.8,274,528,51.90%,45,144,31.30%,176,220,80.00%,98,377,475,7.9,113,1.9,75,25,48,18,120,202,18
愛媛,28,ニカ・ウィリアムズ,C,54,36,1074:09:00,19:53,745,13.8,310,495,62.60%,0,1,0.00%,125,230,54.30%,136,249,385,7.1,37,0.7,106,51,45,23,176,196,16
FE名古屋,2,福澤 晃平,PG,60,56,1488:17:00,24:48:00,724,12.1,266,569,46.70%,133,299,44.50%,59,74,79.70%,15,70,85,1.4,134,2.2,78,57,1,25,146,77,10
秋田,5,田口 成浩,SG,60,40,1528:46:00,25:28:00,699,11.7,242,540,44.80%,105,246,42.70%,110,124,88.70%,40,109,149,2.5,193,3.2,94,68,6,13,103,102,12
福島,16,ジャレッド・ショウ,PF/C,59,24,1078:11:00,18:16,696,11.8,285,575,49.60%,7,25,28.00%,119,171,69.60%,81,232,313,5.3,48,0.8,107,25,37,12,159,132,11
茨城,25,平尾 充庸,PG,59,58,1833:56:00,31:05:00,693,11.7,249,548,45.40%,74,221,33.50%,121,145,83.40%,33,102,135,2.3,215,3.6,99,50,2,31,110,157,11
青森,33,カイル・バローン,PF/C,42,42,1010:59:00,24:04:00,682,16.2,250,520,48.10%,69,184,37.50%,113,184,61.40%,69,320,389,9.3,97,2.3,108,23,33,13,70,161,18
仙台,1,石川 海斗,PG,60,59,1712:40:00,28:32:00,659,11,229,619,37.00%,94,292,32.20%,107,138,77.50%,24,118,142,2.4,323,5.4,112,75,3,18,92,174,11
愛媛,33,俊野 達彦,PG/SG,53,53,1752:01:00,33:03:00,657,12.4,219,497,44.10%,69,197,35.00%,150,209,71.80%,39,202,241,4.5,274,5.2,119,57,9,21,113,159,15
愛媛,13,俊野 佳彦,SF,59,59,1900:32:00,32:12:00,657,11.1,224,623,36.00%,72,258,27.90%,137,175,78.30%,31,174,205,3.5,148,2.5,82,40,0,18,93,142,9
金沢,38,井手 勇次,SG/SF,59,58,1685:44:00,28:34:00,653,11.1,217,574,37.80%,92,284,32.40%,127,170,74.70%,34,149,183,3.1,263,4.5,82,71,3,14,106,193,12
青森,0,會田 圭佑,PG,60,60,1836:49:00,30:36:00,641,10.7,243,558,43.50%,81,230,35.20%,74,99,74.70%,35,116,151,2.5,222,3.7,103,51,6,20,69,94,10
金沢,50,ウェイン・マーシャル,C,53,0,1125:41:00,21:14,630,11.9,229,419,54.70%,1,6,16.70%,171,238,71.80%,96,274,370,7,72,1.4,88,40,83,17,146,193,16
東京Z,33,西山 達哉,PG/SG,58,50,1576:08:00,27:10:00,628,10.8,207,559,37.00%,114,325,35.10%,100,123,81.30%,18,103,121,2.1,269,4.6,151,66,7,12,122,135,10
青森,8,下山 大地,SG,60,60,1726:19:00,28:46:00,622,10.4,221,529,41.80%,130,340,38.20%,50,70,71.40%,28,105,133,2.2,50,0.8,41,35,2,12,124,71,8
