チーム,アシストした選手,アシストされた選手,回数,チーム内順位
アルバルク東京,田中 大貴,アレックス・カーク,74,1
アルバルク東京,安藤 誓哉,アレックス・カーク,47,2
アルバルク東京,安藤 誓哉,田中 大貴,31,3
アルバルク東京,田中 大貴,ケビン・ジョーンズ,30,4
アルバルク東京,菊地 祥平,アレックス・カーク,27,5
アルバルク東京,安藤 誓哉,ミラン・マチュワン,23,6
アルバルク東京,田中 大貴,竹内 譲次,19,7
アルバルク東京,安藤 誓哉,竹内 譲次,17,8
アルバルク東京,田中 大貴,ミラン・マチュワン,17,9
アルバルク東京,安藤 誓哉,須田 侑太郎,16,10
アルバルク東京,田中 大貴,安藤 誓哉,15,11
アルバルク東京,安藤 誓哉,ケビン・ジョーンズ,14,12
アルバルク東京,菊地 祥平,竹内 譲次,14,13
アルバルク東京,ミラン・マチュワン,アレックス・カーク,13,14
アルバルク東京,ミラン・マチュワン,須田 侑太郎,13,15
アルバルク東京,正中 岳城,アレックス・カーク,13,16
アルバルク東京,ケビン・ジョーンズ,須田 侑太郎,12,17
アルバルク東京,安藤 誓哉,菊地 祥平,12,18
アルバルク東京,菊地 祥平,ケビン・ジョーンズ,12,19
アルバルク東京,菊地 祥平,安藤 誓哉,11,20
アルバルク東京,須田 侑太郎,アレックス・カーク,11,21
アルバルク東京,正中 岳城,ミラン・マチュワン,11,22
アルバルク東京,竹内 譲次,安藤 誓哉,11,23
アルバルク東京,アレックス・カーク,菊地 祥平,10,24
アルバルク東京,竹内 譲次,アレックス・カーク,10,25
アルバルク東京,アレックス・カーク,竹内 譲次,9,26
アルバルク東京,安藤 誓哉,ザック・バランスキー,9,27
アルバルク東京,須田 侑太郎,ミラン・マチュワン,9,28
アルバルク東京,正中 岳城,ケビン・ジョーンズ,9,29
アルバルク東京,田中 大貴,菊地 祥平,9,30
アルバルク東京,アレックス・カーク,ケビン・ジョーンズ,8,31
アルバルク東京,菊地 祥平,ミラン・マチュワン,8,32
アルバルク東京,菊地 祥平,田中 大貴,8,33
アルバルク東京,正中 岳城,竹内 譲次,8,34
アルバルク東京,アレックス・カーク,田中 大貴,7,35
アルバルク東京,ケビン・ジョーンズ,アレックス・カーク,7,36
アルバルク東京,ケビン・ジョーンズ,安藤 誓哉,7,37
アルバルク東京,ザック・バランスキー,ケビン・ジョーンズ,7,38
アルバルク東京,須田 侑太郎,ケビン・ジョーンズ,7,39
アルバルク東京,正中 岳城,須田 侑太郎,7,40
アルバルク東京,津山 尚大,ケビン・ジョーンズ,7,41
アルバルク東京,田中 大貴,ザック・バランスキー,7,42
アルバルク東京,アレックス・カーク,安藤 誓哉,6,43
アルバルク東京,アレックス・カーク,須田 侑太郎,6,44
アルバルク東京,ミラン・マチュワン,安藤 誓哉,6,45
アルバルク東京,小島 元基,アレックス・カーク,6,46
アルバルク東京,アレックス・カーク,ミラン・マチュワン,5,47
アルバルク東京,ケビン・ジョーンズ,田中 大貴,5,48
アルバルク東京,ザック・バランスキー,アレックス・カーク,5,49
アルバルク東京,竹内 譲次,田中 大貴,5,50
アルバルク東京,田中 大貴,正中 岳城,5,51
アルバルク東京,ミラン・マチュワン,ケビン・ジョーンズ,4,52
アルバルク東京,ミラン・マチュワン,竹内 譲次,4,53
アルバルク東京,正中 岳城,ザック・バランスキー,4,54
アルバルク東京,竹内 譲次,菊地 祥平,4,55
アルバルク東京,竹内 譲次,正中 岳城,4,56
アルバルク東京,津山 尚大,ザック・バランスキー,4,57
アルバルク東京,田中 大貴,須田 侑太郎,4,58
アルバルク東京,アレックス・カーク,小島 元基,3,59
アルバルク東京,ケビン・ジョーンズ,菊地 祥平,3,60
アルバルク東京,ケビン・ジョーンズ,正中 岳城,3,61
アルバルク東京,ケビン・ジョーンズ,津山 尚大,3,62
アルバルク東京,ザック・バランスキー,ミラン・マチュワン,3,63
アルバルク東京,ミラン・マチュワン,ザック・バランスキー,3,64
アルバルク東京,ミラン・マチュワン,田中 大貴,3,65
アルバルク東京,須田 侑太郎,ザック・バランスキー,3,66
アルバルク東京,須田 侑太郎,竹内 譲次,3,67
アルバルク東京,須田 侑太郎,田中 大貴,3,68
アルバルク東京,正中 岳城,田中 大貴,3,69
アルバルク東京,竹内 譲次,ケビン・ジョーンズ,3,70
アルバルク東京,竹内 譲次,ミラン・マチュワン,3,71
アルバルク東京,竹内 譲次,須田 侑太郎,3,72
アルバルク東京,津山 尚大,アレックス・カーク,3,73
アルバルク東京,アレックス・カーク,正中 岳城,2,74
アルバルク東京,ケビン・ジョーンズ,ザック・バランスキー,2,75
アルバルク東京,ザック・バランスキー,安藤 誓哉,2,76
アルバルク東京,ザック・バランスキー,須田 侑太郎,2,77
アルバルク東京,ザック・バランスキー,竹内 譲次,2,78
アルバルク東京,ザック・バランスキー,田中 大貴,2,79
アルバルク東京,ミラン・マチュワン,正中 岳城,2,80
アルバルク東京,安藤 誓哉,正中 岳城,2,81
アルバルク東京,菊地 祥平,正中 岳城,2,82
アルバルク東京,須田 侑太郎,安藤 誓哉,2,83
アルバルク東京,竹内 譲次,ザック・バランスキー,2,84
アルバルク東京,津山 尚大,田中 大貴,2,85
アルバルク東京,田中 大貴,津山 尚大,2,86
アルバルク東京,アレックス・カーク,ザック・バランスキー,1,87
アルバルク東京,ケビン・ジョーンズ,ミラン・マチュワン,1,88
アルバルク東京,ケビン・ジョーンズ,小酒部 泰暉,1,89
アルバルク東京,ケビン・ジョーンズ,竹内 譲次,1,90
アルバルク東京,ザック・バランスキー,津山 尚大,1,91
アルバルク東京,ミラン・マチュワン,菊地 祥平,1,92
アルバルク東京,ミラン・マチュワン,小酒部 泰暉,1,93
アルバルク東京,ミラン・マチュワン,津山 尚大,1,94
アルバルク東京,安藤 誓哉,小酒部 泰暉,1,95
アルバルク東京,安藤 誓哉,津山 尚大,1,96
アルバルク東京,菊地 祥平,小島 元基,1,97
アルバルク東京,菊地 祥平,須田 侑太郎,1,98
アルバルク東京,菊地 祥平,津山 尚大,1,99
アルバルク東京,山本 柊輔,アレックス・カーク,1,100
アルバルク東京,小酒部 泰暉,須田 侑太郎,1,101
アルバルク東京,小島 元基,田中 大貴,1,102
アルバルク東京,須田 侑太郎,正中 岳城,1,103
アルバルク東京,正中 岳城,安藤 誓哉,1,104
アルバルク東京,正中 岳城,菊地 祥平,1,105
アルバルク東京,竹内 譲次,小島 元基,1,106
アルバルク東京,津山 尚大,ミラン・マチュワン,1,107
アルバルク東京,津山 尚大,安藤 誓哉,1,108
アルバルク東京,津山 尚大,笹倉 怜寿,1,109
アルバルク東京,津山 尚大,小酒部 泰暉,1,110
アルバルク東京,津山 尚大,須田 侑太郎,1,111
アルバルク東京,津山 尚大,竹内 譲次,1,112
アルバルク東京,田中 大貴,小酒部 泰暉,1,113
アルバルク東京,田中 大貴,小島 元基,1,114
サンロッカーズ渋谷,ベンドラメ 礼生,セバスチャン・サイズ,42,1
サンロッカーズ渋谷,ベンドラメ 礼生,チャールズ・ジャクソン,39,2
サンロッカーズ渋谷,ベンドラメ 礼生,ライアン・ケリー,38,3
サンロッカーズ渋谷,山内 盛久,ライアン・ケリー,37,4
サンロッカーズ渋谷,山内 盛久,セバスチャン・サイズ,28,5
サンロッカーズ渋谷,渡辺 竜之佑,ライアン・ケリー,22,6
サンロッカーズ渋谷,ライアン・ケリー,チャールズ・ジャクソン,19,7
サンロッカーズ渋谷,渡辺 竜之佑,セバスチャン・サイズ,17,8
サンロッカーズ渋谷,山内 盛久,チャールズ・ジャクソン,16,9
サンロッカーズ渋谷,渡辺 竜之佑,チャールズ・ジャクソン,15,10
サンロッカーズ渋谷,ベンドラメ 礼生,関野 剛平,13,11
サンロッカーズ渋谷,ベンドラメ 礼生,杉浦 佑成,13,12
サンロッカーズ渋谷,ライアン・ケリー,セバスチャン・サイズ,13,13
サンロッカーズ渋谷,ベンドラメ 礼生,石井 講祐,12,14
サンロッカーズ渋谷,チャールズ・ジャクソン,ライアン・ケリー,11,15
サンロッカーズ渋谷,ライアン・ケリー,ベンドラメ 礼生,11,16
サンロッカーズ渋谷,石井 講祐,セバスチャン・サイズ,11,17
サンロッカーズ渋谷,セバスチャン・サイズ,チャールズ・ジャクソン,10,18
サンロッカーズ渋谷,ライアン・ケリー,関野 剛平,10,19
サンロッカーズ渋谷,ライアン・ケリー,杉浦 佑成,10,20
サンロッカーズ渋谷,ライアン・ケリー,石井 講祐,10,21
サンロッカーズ渋谷,山内 盛久,杉浦 佑成,10,22
サンロッカーズ渋谷,盛實 海翔,ライアン・ケリー,10,23
サンロッカーズ渋谷,チャールズ・ジャクソン,ベンドラメ 礼生,9,24
サンロッカーズ渋谷,チャールズ・ジャクソン,渡辺 竜之佑,9,25
サンロッカーズ渋谷,関野 剛平,ライアン・ケリー,9,26
サンロッカーズ渋谷,山内 盛久,田渡 修人,9,27
サンロッカーズ渋谷,石井 講祐,チャールズ・ジャクソン,9,28
サンロッカーズ渋谷,田渡 修人,ライアン・ケリー,9,29
サンロッカーズ渋谷,渡辺 竜之佑,ベンドラメ 礼生,9,30
サンロッカーズ渋谷,野口 大介,チャールズ・ジャクソン,9,31
サンロッカーズ渋谷,ベンドラメ 礼生,野口 大介,8,32
サンロッカーズ渋谷,ライアン・ケリー,山内 盛久,8,33
サンロッカーズ渋谷,山内 盛久,ベンドラメ 礼生,8,34
サンロッカーズ渋谷,田渡 修人,セバスチャン・サイズ,8,35
