TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
新潟,54,ダバンテ・ガードナー,C,59,59,1771:44:00,30:01:00,1695,28.7,608,1066,57.00%,44,149,29.50%,435,516,84.30%,187,401,588,10,146,2.5,140,50,37,48,143,445,31
川崎,22,ニック・ファジーカス,C,60,59,1794:16:00,29:54:00,1517,25.3,577,1043,55.30%,62,139,44.60%,301,356,84.60%,125,531,656,10.9,167,2.8,139,74,25,53,93,289,30
千葉,21,ギャビン・エドワーズ,PF,60,59,1741:58:00,29:01:00,1088,18.1,420,690,60.90%,9,35,25.70%,239,371,64.40%,158,306,464,7.7,165,2.8,126,52,70,21,174,404,22
北海道,15,マーク・トラソリーニ,PF/C,56,38,1484:27:00,26:30:00,1065,19,408,735,55.50%,64,153,41.80%,185,227,81.50%,127,288,415,7.4,105,1.9,92,85,73,31,139,193,23
富山,11,宇都 直輝,PG,59,58,2035:18:00,34:29:00,1005,17,399,881,45.30%,8,36,22.20%,199,253,78.70%,65,214,279,4.7,453,7.7,187,69,5,66,144,296,18
SR渋谷,6,ロバート・サクレ,C,60,58,1582:33:00,26:22:00,992,16.5,395,820,48.20%,4,13,30.80%,198,264,75.00%,125,327,452,7.5,86,1.4,93,44,42,20,135,227,17
A東京,53,アレックス・カーク,C,60,60,1564:59:00,26:04:00,973,16.2,360,594,60.60%,14,51,27.50%,239,309,77.30%,184,349,533,8.9,56,0.9,68,27,74,15,122,244,22
京都,34,ジョシュア・スミス,C,58,43,1394:07:00,24:02:00,972,16.8,381,568,67.10%,0,3,0.00%,210,333,63.10%,227,321,548,9.4,121,2.1,102,26,36,16,152,272,22
三河,32,桜木 ジェイアール,PF,59,57,1711:09:00,29:00:00,916,15.5,355,638,55.60%,5,31,16.10%,201,265,75.80%,112,383,495,8.4,313,5.3,107,39,7,18,131,301,22
三河,14,金丸 晃輔,SG/SF,57,50,1599:31:00,28:03:00,894,15.7,339,761,44.50%,107,271,39.50%,109,117,93.20%,17,94,111,1.9,64,1.1,61,35,4,18,45,135,11
琉球,12,ハッサン・マーティン,PF/C,58,45,1612:53:00,27:48:00,889,15.3,357,555,64.30%,0,3,0.00%,175,262,66.80%,131,353,484,8.3,71,1.2,113,60,79,23,151,214,20
島根,40,ジョシュ・スコット,PF/C,48,48,1352:16:00,28:10:00,870,18.1,326,631,51.70%,0,3,0.00%,218,306,71.20%,181,338,519,10.8,113,2.4,86,44,51,41,109,287,23
名古屋D,24,ジャスティン・バーレル,PF/C,56,50,1280:54:00,22:52,826,14.8,326,537,60.70%,2,9,22.20%,172,223,77.10%,83,337,420,7.5,132,2.4,92,25,29,13,142,224,19
滋賀,40,ディオール・フィッシャー,PF/C,59,59,1777:48:00,30:07:00,803,13.6,333,534,62.40%,8,22,36.40%,129,153,84.30%,150,434,584,9.9,181,3.1,117,57,128,14,200,150,24
西宮,2,ドゥレイロン・バーンズ,SG/SF,59,2,1142:42:00,19:22,801,13.6,265,681,38.90%,102,318,32.10%,169,202,83.70%,40,183,223,3.8,208,3.5,98,89,13,17,110,231,13
千葉,2,富樫 勇樹,PG,50,46,1391:49:00,27:50:00,787,15.7,291,614,47.40%,117,280,41.80%,88,105,83.80%,10,83,93,1.9,263,5.3,122,43,2,19,62,99,15
横浜,1,川村 卓也,SG,57,43,1685:14:00,29:33:00,778,13.6,262,630,41.60%,95,258,36.80%,159,197,80.70%,33,149,182,3.2,206,3.6,105,48,5,29,105,200,12
栃木,32,ライアン・ロシター,PF/C,57,56,1611:27:00,28:16:00,770,13.5,326,701,46.50%,37,109,33.90%,81,190,42.60%,174,409,583,10.2,252,4.4,125,71,19,20,114,204,19
横浜,34,ハシーム・サビート,C,59,29,1396:36:00,23:40,768,13,298,531,56.10%,0,2,0.00%,172,278,61.90%,167,319,486,8.2,43,0.7,110,53,135,10,187,236,18
千葉,3,マイケル・パーカー,PF,60,59,1520:18:00,25:20:00,759,12.7,332,518,64.10%,17,66,25.80%,78,136,57.40%,142,343,485,8.1,100,1.7,42,114,66,14,111,124,21
川崎,14,辻 直人,SG,58,58,1572:23:00,27:06:00,745,12.8,227,548,41.40%,145,373,38.90%,146,175,83.40%,23,87,110,1.9,256,4.4,112,44,4,8,62,138,12
京都,32,ジュリアン・マブンガ,PF,47,11,1030:48:00,21:55,734,15.6,218,488,44.70%,73,204,35.80%,225,305,73.80%,49,178,227,4.8,194,4.1,112,37,17,22,122,277,16
滋賀,7,並里 成,PG,59,59,1649:21:00,27:57:00,719,12.2,291,726,40.10%,31,106,29.20%,106,134,79.10%,35,156,191,3.2,438,7.4,155,86,0,22,95,162,14
三河,6,比江島 慎,PG/SG,55,44,1423:44:00,25:53:00,708,12.9,281,556,50.50%,51,129,39.50%,95,125,76.00%,32,126,158,2.9,227,4.1,87,67,26,16,102,122,14
西宮,13,道原 紀晃,PG/SG,60,49,1675:59:00,27:55:00,696,11.6,254,600,42.30%,56,139,40.30%,132,146,90.40%,52,128,180,3,108,1.8,80,72,4,23,141,171,10
名古屋D,34,クレイグ・ブラッキンズ,PF/C,59,10,1290:05:00,21:51,679,11.5,255,565,45.10%,93,262,35.50%,76,103,73.80%,59,248,307,5.2,139,2.4,91,37,26,6,116,96,13
琉球,33,アイラ・ブラウン,PF,60,58,1722:11:00,28:42:00,674,11.2,254,518,49.00%,61,149,40.90%,105,171,61.40%,119,304,423,7.1,176,2.9,98,80,51,12,127,169,16
千葉,34,小野 龍猛,SF/PF,59,59,1599:48:00,27:06:00,665,11.3,224,557,40.20%,89,244,36.50%,128,195,65.60%,26,149,175,3,195,3.3,98,35,18,16,77,164,10
SR渋谷,9,ベンドラメ 礼生,PG,59,27,1512:34:00,25:38:00,661,11.2,251,617,40.70%,75,225,33.30%,84,109,77.10%,50,94,144,2.4,144,2.4,102,84,0,28,100,138,9
富山,45,デクスター・ピットマン,C,57,13,1015:16:00,17:48,654,11.5,275,470,58.50%,0,0,0.00%,104,171,60.80%,117,222,339,5.9,80,1.4,88,31,34,19,153,152,14
A東京,24,田中 大貴,SG,53,52,1552:10:00,29:17:00,649,12.2,246,568,43.30%,68,193,35.20%,89,112,79.50%,17,93,110,2.1,269,5.1,71,62,5,16,61,117,13
