"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","SHEDULEKEY","TEAM.A","TEAM.B","ISHOME.A","ISHOME.B","ATTENDANCE_RAW","EX1.A","EX1.B","EX2.A","EX2.B","EX3.A","EX3.B"
"1","12","13","21","22","68","25","49","51%","2","14","14.3%","12","15","80%","13","26","39","16","20","7","5","20","8","2","44","20","14","8-0(56-62)","16","20","19","19","74","24","47","51.1%","6","18","33.3%","8","16","50%","12","24","36","19","16","15","5","21","10","14","38","20","15","8-0(12-18)",1,"10.06","2986","北海道","大阪",TRUE,FALSE,"人数：4738人",0,0,0,0,0,0
"2","14","19","25","12","70","23","45","51.1%","5","18","27.8%","9","11","81.8%","17","33","50","20","18","9","8","18","8","17","40","14","14","13-0(33-22)","13","16","15","9","53","16","48","33.3%","3","14","21.4%","12","20","60%","13","19","32","13","13","5","2","17","2","3","30","12","10","9-0(33-31)",2,"10.07","2987","北海道","大阪",TRUE,FALSE,"人数：3843人",0,0,0,0,0,0
"3","9","16","21","20","66","19","40","47.5%","7","14","50%","7","14","50%","9","29","38","15","17","6","1","17","2","2","26","6","13","10-0(52-50)","19","16","17","15","67","21","51","41.2%","4","20","20%","13","15","86.7%","18","23","41","13","8","14","1","20","4","17","32","23","14","8-0(38-25)",3,"10.13","3008","北海道","SR渋谷",FALSE,TRUE,"人数：2749人",0,0,0,0,0,0
"4","18","23","18","17","76","24","51","47.1%","3","13","23.1%","19","26","73.1%","14","30","44","22","7","8","2","17","6","20","40","14","10","13-0(16-20)","16","14","16","11","57","18","41","43.9%","4","23","17.4%","9","14","64.3%","13","27","40","18","13","2","3","24","2","9","22","2","6","9-0(16-7)",4,"10.14","3009","北海道","SR渋谷",FALSE,TRUE,"人数：2544人",0,0,0,0,0,0
"5","13","16","17","17","63","21","49","42.9%","4","20","20%","9","13","69.2%","9","25","34","17","13","10","0","26","16","4","38","19","12","8-0(19-23)","23","18","22","30","93","26","43","60.5%","8","20","40%","17","26","65.4%","10","36","46","30","15","7","3","16","13","30","42","10","12","11-0(23-41)",5,"10.17","3022","北海道","千葉",TRUE,FALSE,"人数：4058人",0,0,0,0,0,0
"6","22","17","12","21","72","24","46","52.2%","5","19","26.3%","9","11","81.8%","11","24","35","19","7","2","1","22","5","7","38","14","13","11-0(8-13)","15","18","24","13","70","18","47","38.3%","5","14","35.7%","19","25","76%","13","25","38","13","9","4","4","17","8","10","36","6","6","10-0(61-51)",6,"10.20","3033","北海道","栃木",FALSE,TRUE,"人数：2807人",0,0,0,0,0,0
"7","18","16","24","12","70","22","42","52.4%","7","15","46.7%","5","6","83.3%","6","25","31","25","16","3","2","26","2","4","32","10","7","7-0(50-54)","18","21","18","22","79","20","43","46.5%","6","21","28.6%","21","32","65.6%","17","19","36","21","9","9","4","10","10","9","28","16","18","11-0(79-70)",7,"10.21","3034","北海道","栃木",FALSE,TRUE,"人数：2877人",0,0,0,0,0,0
"8","24","14","23","17","78","17","42","40.5%","9","25","36%","17","21","81%","12","22","34","21","15","4","1","26","12","3","30","8","11","8-0(64-50)","32","27","28","23","110","29","45","64.4%","10","21","47.6%","22","34","64.7%","12","30","42","34","7","9","4","23","14","32","46","18","19","23-0(51-24)",8,"10.24","3050","北海道","千葉",FALSE,TRUE,"人数：4008人",0,0,0,0,0,0
"9","23","19","15","15","72","19","43","44.2%","9","18","50%","7","13","53.8%","9","21","30","16","12","2","3","20","2","12","22","5","12","7-0(11-10)","18","16","23","29","86","24","50","48%","6","16","37.5%","20","26","76.9%","15","26","41","18","5","6","2","18","4","14","32","16","16","12-0(55-57)",9,"10.28","3058","北海道","栃木",TRUE,FALSE,"人数：6042人",0,0,0,0,0,0
"10","20","14","16","10","60","17","47","36.2%","5","16","31.3%","11","20","55%","14","26","40","17","13","4","1","24","4","7","28","5","9","7-0(7-0)","17","24","21","23","85","22","51","43.1%","8","21","38.1%","17","26","65.4%","17","28","45","20","6","7","3","16","7","26","36","11","19","9-0(44-59)",10,"10.29","3059","北海道","栃木",TRUE,FALSE,"人数：3425人",0,0,0,0,0,0
"11","12","17","21","30","80","27","59","45.8%","4","15","26.7%","14","24","58.3%","14","25","39","18","11","10","7","22","19","1","44","21","11","11-0(81-74)","21","17","27","21","86","22","50","44%","9","16","56.3%","15","23","65.2%","11","31","42","27","15","2","1","22","11","21","38","12","11","10-0(38-29)",11,"11.03","3086","北海道","三遠",FALSE,TRUE,"人数：1531人",0,0,0,0,0,0
"12","27","21","26","14","88","27","54","50%","7","16","43.8%","13","17","76.5%","10","24","34","22","7","8","3","23","2","24","50","15","15","16-0(3-25)","9","19","27","20","75","21","39","53.8%","4","20","20%","21","27","77.8%","12","27","39","13","16","3","0","21","6","0","36","8","9","10-0(67-76)",12,"11.04","3087","北海道","三遠",FALSE,TRUE,"人数：2705人",0,0,0,0,0,0
"13","10","25","15","22","72","19","42","45.2%","5","21","23.8%","19","22","86.4%","17","20","37","21","16","2","2","20","5","0","28","8","8","7-0(21-32)","26","23","24","18","91","30","51","58.8%","4","11","36.4%","19","22","86.4%","8","23","31","20","6","11","2","17","10","27","48","25","15","7-0(22-41)",13,"11.07","3094","北海道","SR渋谷",TRUE,FALSE,"人数：3008人",0,0,0,0,0,0
"14","13","21","10","19","63","18","45","40%","6","22","27.3%","9","12","75%","13","24","37","19","10","5","0","21","4","4","24","10","6","4-0(6-9)","14","20","22","22","78","23","39","59%","6","25","24%","14","22","63.6%","16","30","46","18","13","6","3","13","6","18","42","7","14","12-0(61-44)",14,"11.10","3111","北海道","新潟",FALSE,TRUE,"人数：2325人",0,0,0,0,0,0
"15","23","15","22","16","76","14","44","31.8%","14","31","45.2%","6","6","100%","15","24","39","25","8","6","0","17","8","14","24","6","6","13-0(7-21)","12","29","26","15","82","22","36","61.1%","7","24","29.2%","17","20","85%","8","31","39","22","10","5","4","11","12","11","40","11","10","10-0(19-23)",15,"11.11","3112","北海道","新潟",FALSE,TRUE,"人数：2351人",0,0,0,0,0,0
"16","14","11","16","28","69","24","46","52.2%","4","21","19%","9","10","90%","11","27","38","19","16","8","1","18","18","2","38","12","8","8-0(33-46)","20","24","21","20","85","30","51","58.8%","4","13","30.8%","13","19","68.4%","6","27","33","23","9","7","0","12","4","24","46","14","6","17-0(17-37)",16,"11.17","3121","北海道","川崎",TRUE,FALSE,"人数：2084人",0,0,0,0,0,0
"17","15","18","19","22","74","18","40","45%","8","26","30.8%","14","18","77.8%","11","25","36","24","12","10","4","15","6","1","34","12","10","10-0(49-55)","25","21","15","21","82","29","50","58%","6","15","40%","6","11","54.5%","9","30","39","25","12","9","1","13","10","21","46","15","10","9-0(8-18)",17,"11.18","3122","北海道","川崎",TRUE,FALSE,"人数：2464人",0,0,0,0,0,0
"18","16","15","17","22","70","21","44","47.7%","5","21","23.8%","13","15","86.7%","19","20","39","18","14","10","0","18","5","1","30","15","12","10-0(20-16)","22","25","18","16","81","15","37","40.5%","12","18","66.7%","15","23","65.2%","11","21","32","21","13","8","4","17","3","20","24","18","10","15-0(20-6)",18,"11.23","3153","北海道","大阪",FALSE,TRUE,"人数：2222人",0,0,0,0,0,0
"19","11","11","20","34","76","25","47","53.2%","5","17","29.4%","11","17","64.7%","9","24","33","21","15","10","1","21","9","0","40","18","10","5-0(15-11)","23","20","20","27","90","18","34","52.9%","13","24","54.2%","15","22","68.2%","6","27","33","24","14","9","3","20","10","22","20","10","4","8-0(23-11)",19,"11.24","3154","北海道","大阪",FALSE,TRUE,"人数：1872人",0,0,0,0,0,0
"20","18","5","20","24","67","21","48","43.8%","4","14","28.6%","13","22","59.1%","10","23","33","17","14","10","3","30","12","3","34","16","14","6-0(18-18)","18","17","20","29","84","25","35","71.4%","5","17","29.4%","19","29","65.5%","5","28","33","25","15","7","2","22","13","21","46","12","5","12-0(7-16)",1,"10.06","2988","秋田","琉球",TRUE,FALSE,"人数：3873人",0,0,0,0,0,0
"21","17","10","20","19","66","11","28","39.3%","11","35","31.4%","11","17","64.7%","14","26","40","19","17","6","6","28","5","7","20","16","18","6-0(13-6)","17","24","19","11","71","13","32","40.6%","8","27","29.6%","21","28","75%","15","30","45","15","13","10","4","22","7","16","22","13","12","12-0(17-28)",2,"10.07","2989","秋田","琉球",TRUE,FALSE,"人数：3788人",0,0,0,0,0,0
"22","17","16","17","24","74","20","45","44.4%","5","17","29.4%","19","29","65.5%","17","23","40","18","18","6","2","32","8","0","32","16","20","6-0(33-24)","28","13","24","19","84","23","43","53.5%","4","20","20%","26","35","74.3%","18","25","43","17","16","11","5","25","20","17","46","19","13","10-0(54-38)",3,"10.11","3012","秋田","新潟",FALSE,TRUE,"人数：1909人",0,0,0,0,0,0
"23","18","18","28","28","92","21","46","45.7%","8","21","38.1%","26","28","92.9%","13","19","32","18","12","11","3","31","12","2","34","20","13","7-0(16-15)","24","28","21","31","104","26","36","72.2%","8","23","34.8%","28","36","77.8%","8","25","33","29","16","7","3","23","11","16","46","10","8","7-0(14-6)",4,"10.12","3013","秋田","新潟",FALSE,TRUE,"人数：2053人",0,0,0,0,0,0
"24","20","16","10","17","63","20","48","41.7%","3","14","21.4%","14","21","66.7%","15","27","42","10","16","12","4","17","5","13","40","14","18","10-0(23-36)","19","5","20","14","58","14","39","35.9%","6","18","33.3%","12","18","66.7%","11","25","36","15","18","10","4","18","6","3","22","16","9","9-0(32-36)",5,"10.17","3024","秋田","SR渋谷",FALSE,TRUE,"人数：1516人",0,0,0,0,0,0
"25","13","20","26","13","72","22","47","46.8%","4","14","28.6%","16","26","61.5%","15","25","40","16","20","12","8","20","22","11","38","21","6","10-0(46-35)","15","18","21","17","71","21","46","45.7%","6","16","37.5%","11","16","68.8%","10","24","34","17","17","11","3","24","8","6","36","19","7","8-0(7-8)",6,"10.20","3031","秋田","福岡",TRUE,FALSE,"人数：2475人",0,0,0,0,0,0
