"","GAMEIDX","DATE","SHEDULEKEY","TEAM.A","TEAM.B","ISHOME.A","ISHOME.B","ATTENDANCE_RAW"
"1",1,"9.29","3526","青森","FE名古屋",TRUE,FALSE,"人数：1552人"
"2",2,"9.30","3527","青森","FE名古屋",TRUE,FALSE,"人数：1424人"
"3",3,"10.06","3552","青森","信州",FALSE,TRUE,"人数：1023人"
"4",4,"10.07","3553","青森","信州",FALSE,TRUE,"人数：1191人"
"5",5,"10.13","3564","青森","山形",FALSE,TRUE,"人数：1435人"
"6",6,"10.14","3565","青森","山形",FALSE,TRUE,"人数：1581人"
"7",7,"10.20","3580","青森","愛媛",TRUE,FALSE,"人数：1631人"
"8",8,"10.21","3581","青森","愛媛",TRUE,FALSE,"人数：1482人"
"9",9,"10.24","3598","青森","仙台",FALSE,TRUE,"人数：2465人"
"10",10,"10.27","3623","青森","熊本",FALSE,TRUE,"人数：1562人"
"11",11,"10.28","3624","青森","熊本",FALSE,TRUE,"人数：1829人"
"12",12,"11.03","3625","青森","奈良",TRUE,FALSE,"人数：1432人"
"13",13,"11.04","3626","青森","奈良",TRUE,FALSE,"人数：1553人"
"14",14,"11.10","3653","青森","八王子",FALSE,TRUE,"人数：663人"
"15",15,"11.11","3654","青森","八王子",FALSE,TRUE,"人数：1227人"
"16",1,"9.29","3528","仙台","福島",FALSE,TRUE,"人数：2007人"
"17",2,"9.30","3529","仙台","福島",FALSE,TRUE,"人数：2119人"
"18",3,"10.05","3544","仙台","西宮",TRUE,FALSE,"人数：2517人"
"19",4,"10.06","3545","仙台","西宮",TRUE,FALSE,"人数：2302人"
"20",5,"10.13","3562","仙台","群馬",TRUE,FALSE,"人数：1956人"
"21",6,"10.14","3563","仙台","群馬",TRUE,FALSE,"人数：2063人"
"22",7,"10.20","3588","仙台","金沢",FALSE,TRUE,"人数：672人"
"23",8,"10.21","3589","仙台","金沢",FALSE,TRUE,"人数：671人"
"24",9,"10.24","3598","仙台","青森",TRUE,FALSE,"人数：2465人"
"25",10,"10.27","3613","仙台","八王子",FALSE,TRUE,"人数：609人"
"26",11,"10.28","3614","仙台","八王子",FALSE,TRUE,"人数：683人"
"27",12,"11.02","3639","仙台","愛媛",FALSE,TRUE,"人数：1311人"
"28",13,"11.03","3640","仙台","愛媛",FALSE,TRUE,"人数：1626人"
"29",14,"11.09","3643","仙台","奈良",TRUE,FALSE,"人数：2257人"
"30",15,"11.10","3644","仙台","奈良",TRUE,FALSE,"人数：3011人"
"31",1,"9.29","3532","山形","群馬",FALSE,TRUE,"人数：1174人"
"32",2,"9.30","3533","山形","群馬",FALSE,TRUE,"人数：810人"
"33",3,"10.06","3546","山形","島根",TRUE,FALSE,"人数：1777人"
"34",4,"10.07","3547","山形","島根",TRUE,FALSE,"人数：1861人"
"35",5,"10.13","3564","山形","青森",TRUE,FALSE,"人数：1435人"
"36",6,"10.14","3565","山形","青森",TRUE,FALSE,"人数：1581人"
"37",7,"10.20","3584","山形","茨城",FALSE,TRUE,"人数：1510人"
"38",8,"10.21","3585","山形","茨城",FALSE,TRUE,"人数：1842人"
"39",9,"10.24","3599","山形","群馬",TRUE,FALSE,"人数：1669人"
"40",10,"10.27","3621","山形","香川",FALSE,TRUE,"人数：628人"
