TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF,ID,YEAR,LEAGUE
横浜,-,チャールズ・ガルシア,PF,5,5,134:02,26:48,75,15.0,32,70,45.7%,0,0,0.0%,11,19,57.9%,9,19,28,5.6,11,2.2,8,4,3,5,23,13,13,9040,2018,1
三遠,-,シャキール・モリス,C,3,3,75:44,25:14,35,11.7,15,25,60.0%,0,1,0.0%,5,7,71.4%,4,12,16,5.3,1,0.3,4,2,4,0,10,7,14,8649,2018,1
新潟,54,ダバンテ・ガードナー,C,12,12,428:25,35:42,348,29.0,126,221,57.0%,6,24,25.0%,90,110,81.8%,35,91,126,10.5,43,3.6,26,14,5,9,27,87,33,18460,2018,1
栃木,22,ライアン・ロシター,PF/C,12,12,390:34,32:32,301,25.1,115,215,53.5%,14,25,56.0%,57,95,60.0%,51,84,135,11.3,59,4.9,16,19,15,5,18,81,31,10897,2018,1
京都,50,デイヴィッド・サイモン,C,12,12,429:28,35:47,266,22.2,113,193,58.5%,2,15,13.3%,38,53,71.7%,29,53,82,6.8,20,1.7,25,18,20,2,28,47,24,12595,2018,1
富山,0,レオ・ライオンズ,PF,12,12,412:09,34:20,260,21.7,99,189,52.4%,10,40,25.0%,52,69,75.4%,28,100,128,10.7,45,3.8,30,8,1,7,25,51,25,18398,2018,1
北海道,15,マーク・トラソリーニ,PF/C,12,12,393:13,32:46,247,20.6,98,208,47.1%,20,58,34.5%,31,40,77.5%,43,70,113,9.4,25,2.1,17,14,16,3,25,31,23,18431,2018,1
SR渋谷,34,ライアン・ケリー,SF/PF,12,12,413:32,34:27,245,20.4,84,178,47.2%,13,40,32.5%,64,75,85.3%,10,80,90,7.5,49,4.1,16,12,12,6,31,69,24,18172,2018,1
滋賀,31,ガニ・ラワル,PF/C,12,11,370:26,30:52,241,20.1,103,195,52.8%,0,0,0.0%,35,57,61.4%,50,92,142,11.8,24,2.0,27,4,18,6,39,60,24,18166,2018,1
秋田,40,ジャスティン・キーナン,PF/C,11,11,298:33,27:08,239,21.7,85,160,53.1%,13,27,48.1%,56,75,74.7%,37,55,92,8.4,15,1.4,31,17,3,8,39,75,22,12633,2018,1
名古屋D,2,マーキース・カミングス,PF,10,10,326:39,32:39,234,23.4,76,142,53.5%,17,40,42.5%,65,79,82.3%,8,51,59,5.9,30,3.0,18,8,1,4,20,63,23,8579,2018,1
富山,34,ジョシュア・スミス,C,12,12,391:06,32:35,226,18.8,96,143,67.1%,0,0,0.0%,34,64,53.1%,48,91,139,11.6,30,2.5,12,11,12,3,30,52,27,18436,2018,1
千葉,3,マイケル・パーカー,PF,12,11,377:23,31:26,213,17.8,88,129,68.2%,2,15,13.3%,35,57,61.4%,45,75,120,10.0,11,0.9,10,24,23,6,20,40,27,10265,2018,1
三河,0,ジェームズ・サザランド,SF,10,0,264:26,26:26,207,20.7,77,149,51.7%,23,52,44.2%,30,48,62.5%,12,45,57,5.7,11,1.1,11,6,12,8,19,37,19,8592,2018,1
福岡,34,デクスター・ピットマン,C,11,11,342:39,31:09,207,18.8,87,142,61.3%,0,1,0.0%,33,43,76.7%,32,54,86,7.8,18,1.6,32,10,9,7,34,40,21,10819,2018,1
三河,14,金丸 晃輔,SG/SF,12,12,352:54,29:24,206,17.2,77,169,45.6%,29,58,50.0%,23,28,82.1%,2,12,14,1.2,10,0.8,14,6,1,4,10,22,11,8721,2018,1
SR渋谷,6,ロバート・サクレ,C,12,12,398:22,33:11,205,17.1,83,159,52.2%,0,3,0.0%,39,55,70.9%,24,82,106,8.8,19,1.6,15,14,14,2,23,43,21,12631,2018,1
横浜,1,川村 卓也,SG,12,11,386:19,32:11,204,17.0,72,168,42.9%,29,75,38.7%,31,35,88.6%,8,24,32,2.7,66,5.5,24,19,0,7,29,47,16,8709,2018,1
琉球,40,ジョシュ・スコット,C,12,12,374:08,31:10,204,17.0,82,128,64.1%,0,0,0.0%,40,57,70.2%,39,66,105,8.8,16,1.3,21,11,10,7,33,53,22,18396,2018,1
京都,32,ジュリアン・マブンガ,PF,11,11,408:41,37:09,202,18.4,61,156,39.1%,24,80,30.0%,56,77,72.7%,12,89,101,9.2,93,8.5,36,16,10,5,26,86,25,9063,2018,1
北海道,13,デイビッド・ドブラス,C,12,12,322:25,26:52,199,16.6,84,142,59.2%,1,4,25.0%,30,48,62.5%,32,88,120,10.0,14,1.2,39,3,3,9,43,63,19,10815,2018,1
大阪,55,ジョシュ・ハレルソン,PF/C,12,12,404:49,33:44,184,15.3,71,177,40.1%,27,75,36.0%,15,24,62.5%,26,107,133,11.1,24,2.0,18,15,15,8,22,25,20,18168,2018,1
名古屋D,9,安藤 周人,SG,12,12,343:11,28:35,181,15.1,59,116,50.9%,41,82,50.0%,22,26,84.6%,4,27,31,2.6,27,2.3,16,11,3,2,16,23,15,12582,2018,1
横浜,8,アマンゼ・エゲケゼ,SF,11,11,385:31,35:02,181,16.5,65,146,44.5%,19,59,32.2%,32,39,82.1%,20,46,66,6.0,21,1.9,14,10,8,8,31,43,17,10886,2018,1
A東京,53,アレックス・カーク,C,11,11,363:54,33:04,179,16.3,71,150,47.3%,5,17,29.4%,32,38,84.2%,24,69,93,8.5,17,1.5,13,3,18,6,11,35,19,8490,2018,1
琉球,12,ジェフ・エアーズ,PF,12,6,297:22,24:46,172,14.3,64,120,53.3%,20,49,40.8%,24,28,85.7%,16,81,97,8.1,22,1.8,11,2,8,1,20,31,19,9384,2018,1
川崎,22,ニック・ファジーカス,C,10,3,263:07,26:18,169,16.9,62,139,44.6%,5,17,29.4%,40,49,81.6%,13,74,87,8.7,24,2.4,24,14,1,8,10,30,19,18426,2018,1
新潟,34,ラモント・ハミルトン,PF/C,10,10,297:37,29:45,165,16.5,59,126,46.8%,11,28,39.3%,36,58,62.1%,16,70,86,8.6,20,2.0,15,8,17,4,14,44,19,12663,2018,1
川崎,21,バーノン・マクリン,PF/C,12,12,389:47,32:28,162,13.5,71,126,56.3%,0,1,0.0%,20,44,45.5%,32,81,113,9.4,28,2.3,23,8,6,8,22,41,18,9383,2018,1
三遠,45,ウィリアム・マクドナルド,C,10,10,296:40,29:40,162,16.2,73,146,50.0%,1,3,33.3%,15,25,60.0%,32,70,102,10.2,17,1.7,31,6,3,9,36,26,18,12585,2018,1
名古屋D,24,ジャスティン・バーレル,PF/C,10,10,345:58,34:35,161,16.1,66,120,55.0%,7,17,41.2%,22,38,57.9%,19,94,113,11.3,38,3.8,16,10,5,2,25,39,24,9354,2018,1
滋賀,40,ディオール・フィッシャー,PF/C,12,12,407:31,33:57,161,13.4,68,122,55.7%,1,5,20.0%,24,28,85.7%,36,88,124,10.3,40,3.3,24,9,13,4,32,33,22,9055,2018,1
