TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF,ID,YEAR,LEAGUE
横浜,-,チャールズ・ガルシア,PF,5,5,134:02,26:48,75,15.0,32,70,45.7%,0,0,0.0%,11,19,57.9%,9,19,28,5.6,11,2.2,8,4,3,5,23,13,13,9040,2018,1
三遠,-,シャキール・モリス,C,3,3,75:44,25:14,35,11.7,15,25,60.0%,0,1,0.0%,5,7,71.4%,4,12,16,5.3,1,0.3,4,2,4,0,10,7,14,18460,2018,1
新潟,54,ダバンテ・ガードナー,C,19,19,678:05,35:41,509,26.8,186,333,55.9%,6,31,19.4%,131,156,84.0%,54,160,214,11.3,73,3.8,42,19,10,15,47,133,32,10897,2018,1
京都,50,デイヴィッド・サイモン,C,19,19,699:53,36:50,440,23.2,188,341,55.1%,8,34,23.5%,56,83,67.5%,37,105,142,7.5,43,2.3,39,27,44,6,43,74,25,8649,2018,1
富山,0,レオ・ライオンズ,PF,19,19,663:51,34:56,435,22.9,163,315,51.7%,22,70,31.4%,87,115,75.7%,40,154,194,10.2,63,3.3,43,19,5,11,42,83,26,18398,2018,1
栃木,22,ライアン・ロシター,PF/C,19,19,590:04,31:03,416,21.9,160,295,54.2%,20,35,57.1%,76,119,63.9%,64,155,219,11.5,93,4.9,35,25,22,6,30,106,30,18431,2018,1
SR渋谷,34,ライアン・ケリー,SF/PF,19,19,659:07,34:41,403,21.2,147,297,49.5%,17,58,29.3%,92,115,80.0%,34,160,194,10.2,74,3.9,30,28,24,13,44,111,27,18172,2018,1
滋賀,31,ガニ・ラワル,PF/C,19,17,580:36,30:33,388,20.4,163,309,52.8%,0,0,0.0%,62,102,60.8%,96,128,224,11.8,34,1.8,51,7,31,12,63,100,24,12595,2018,1
秋田,40,ジャスティン・キーナン,PF/C,18,18,492:24,27:21,383,21.3,136,266,51.1%,23,57,40.4%,88,119,73.9%,58,95,153,8.5,26,1.4,50,20,4,15,58,114,21,10819,2018,1
北海道,15,マーク・トラソリーニ,PF/C,19,19,636:44,33:30,374,19.7,149,333,44.7%,29,97,29.9%,47,59,79.7%,62,112,174,9.2,44,2.3,28,25,22,7,33,44,22,12631,2018,1
SR渋谷,6,ロバート・サクレ,C,19,19,630:51,33:12,346,18.2,140,260,53.8%,0,3,0.0%,66,88,75.0%,37,122,159,8.4,27,1.4,16,20,19,4,33,71,22,12633,2018,1
琉球,40,ジョシュ・スコット,C,19,19,592:10,31:10,336,17.7,136,212,64.2%,0,0,0.0%,64,87,73.6%,66,93,159,8.4,30,1.6,29,18,12,11,51,79,22,18436,2018,1
富山,34,ジョシュア・スミス,C,18,18,582:21,32:21,335,18.6,142,211,67.3%,0,0,0.0%,51,92,55.4%,67,137,204,11.3,55,3.1,25,21,16,4,44,78,28,10265,2018,1
三河,0,ジェームズ・サザランド,SF,17,0,452:08,26:35,327,19.2,121,243,49.8%,34,81,42.0%,51,76,67.1%,22,78,100,5.9,33,1.9,20,10,21,14,34,63,19,8490,2018,1
福岡,34,デクスター・ピットマン,C,16,16,513:12,32:04,320,20.0,138,221,62.4%,0,1,0.0%,44,67,65.7%,45,83,128,8.0,29,1.8,41,14,12,9,48,60,22,18166,2018,1
川崎,22,ニック・ファジーカス,C,17,10,485:17,28:32,318,18.7,121,249,48.6%,12,31,38.7%,64,78,82.1%,23,146,169,9.9,46,2.7,44,22,4,12,25,54,22,8579,2018,1
名古屋D,2,マーキース・カミングス,PF,13,13,436:21,33:33,316,24.3,106,195,54.4%,19,48,39.6%,85,112,75.9%,13,62,75,5.8,42,3.2,25,12,2,4,28,84,24,18396,2018,1
千葉,3,マイケル・パーカー,PF,19,18,582:30,30:39,308,16.2,133,196,67.9%,6,26,23.1%,36,66,54.5%,61,119,180,9.5,28,1.5,21,41,31,9,30,50,25,12582,2018,1
北海道,13,デイビッド・ドブラス,C,19,19,523:20,27:32,297,15.6,122,222,55.0%,1,5,20.0%,52,73,71.2%,57,137,194,10.2,25,1.3,64,6,3,15,71,96,18,8721,2018,1
A東京,53,アレックス・カーク,C,18,18,592:21,32:54,293,16.3,111,225,49.3%,12,30,40.0%,59,71,83.1%,48,110,158,8.8,27,1.5,22,6,24,10,23,66,20,18440,2018,1
横浜,1,川村 卓也,SG,19,18,617:36,32:30,287,15.1,100,251,39.8%,40,111,36.0%,47,57,82.5%,15,39,54,2.8,91,4.8,37,28,0,11,47,77,14,9384,2018,1
千葉,1,ジョシュ・ダンカン,PF,19,2,461:07,24:16,284,14.9,103,201,51.2%,19,50,38.0%,59,71,83.1%,25,90,115,6.1,33,1.7,33,9,3,6,58,65,16,9383,2018,1
新潟,34,ラモント・ハミルトン,PF/C,17,17,537:25,31:36,278,16.4,101,215,47.0%,19,59,32.2%,57,92,62.0%,36,106,142,8.4,35,2.1,29,12,29,6,27,77,19,8592,2018,1
名古屋D,24,ジャスティン・バーレル,PF/C,17,17,585:43,34:27,278,16.4,113,203,55.7%,11,25,44.0%,41,69,59.4%,35,154,189,11.1,60,3.5,37,13,8,3,43,68,23,18426,2018,1
三河,14,金丸 晃輔,SG/SF,18,18,526:41,29:15,277,15.4,103,234,44.0%,37,80,46.3%,34,41,82.9%,2,19,21,1.2,22,1.2,23,9,1,5,13,32,9,8709,2018,1
川崎,21,バーノン・マクリン,PF/C,19,19,615:54,32:24,276,14.5,121,211,57.3%,0,1,0.0%,34,72,47.2%,47,117,164,8.6,44,2.3,29,12,12,10,34,60,18,10815,2018,1
京都,32,ジュリアン・マブンガ,PF,13,13,487:39,37:30,270,20.8,83,199,41.7%,35,106,33.0%,69,91,75.8%,13,101,114,8.8,115,8.8,42,17,11,7,32,104,27,9354,2018,1
名古屋D,9,安藤 周人,SG,19,19,553:06,29:06,269,14.2,92,186,49.5%,62,131,47.3%,23,27,85.2%,5,43,48,2.5,42,2.2,29,16,4,2,22,30,13,9063,2018,1
