DAY,SEQ,RENSEN,TYPE,VS,S,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
2017.09.01,1,0,EARLY,富山 VS 北海道,◯,22:34,5,2,8,25.00%,0,0,0.00%,1,1,100.00%,2,5,7,6,0,2,0,0,3,3,0,14
2017.09.02,2,1,EARLY,富山 VS 三遠,◯,35:57:00,5,1,3,33.30%,0,1,0.00%,3,8,37.50%,1,6,7,8,9,0,0,0,3,9,0,4
2017.09.03,3,1,EARLY,名古屋D VS 富山,◯,36:35:00,23,9,19,47.40%,0,0,0.00%,5,6,83.30%,2,3,5,5,3,4,0,1,0,7,0,23
2017.09.30,1,0,SEASON,富山 VS 北海道,◯,36:21:00,25,8,12,66.70%,0,0,0.00%,9,9,100.00%,1,3,4,8,4,3,0,0,2,8,0,32
2017.10.01,2,1,SEASON,富山 VS 北海道,◯,33:28:00,23,9,14,64.30%,1,2,50.00%,4,4,100.00%,3,6,9,6,5,1,0,0,3,6,0,29
2017.10.07,3,0,SEASON,富山 VS 西宮,◯,35:54:00,7,3,7,42.90%,0,0,0.00%,1,2,50.00%,2,4,6,9,5,1,0,2,1,6,0,13
2017.10.08,4,1,SEASON,富山 VS 西宮,◯,35:39:00,13,4,13,30.80%,0,0,0.00%,5,8,62.50%,2,7,9,4,1,3,0,1,4,6,0,16
2017.10.14,5,0,SEASON,三河 VS 富山,◯,32:17:00,18,9,19,47.40%,0,1,0.00%,0,2,0.00%,1,2,3,7,2,0,0,2,4,3,0,14
2017.10.15,6,1,SEASON,三河 VS 富山,◯,27:03:00,6,2,10,20.00%,0,2,0.00%,2,2,100.00%,0,3,3,4,3,0,0,1,2,2,0,2
2017.10.21,7,0,SEASON,富山 VS 京都,◯,34:45:00,28,10,18,55.60%,0,0,0.00%,8,10,80.00%,2,3,5,10,4,0,0,1,2,8,0,29
2017.10.22,8,1,SEASON,富山 VS 京都,◯,38:05:00,20,6,15,40.00%,0,2,0.00%,8,10,80.00%,4,7,11,5,4,1,0,0,3,10,0,22
2017.10.25,9,0,SEASON,名古屋D VS 富山,◯,32:32:00,10,3,9,33.30%,0,0,0.00%,4,4,100.00%,0,1,1,5,5,0,1,0,3,3,0,6
2017.10.28,10,0,SEASON,A東京 VS 富山,◯,33:20:00,10,4,11,36.40%,0,0,0.00%,2,2,100.00%,0,3,3,7,4,1,0,2,3,5,0,10
2017.10.29,11,1,SEASON,A東京 VS 富山,◯,37:56:00,16,6,14,42.90%,0,0,0.00%,4,4,100.00%,0,3,3,7,1,0,0,2,4,5,0,17
2017.11.04,12,0,SEASON,富山 VS 新潟,◯,37:11:00,17,5,9,55.60%,0,0,0.00%,7,8,87.50%,0,4,4,9,2,2,0,0,3,5,0,25
2017.11.05,13,1,SEASON,富山 VS 新潟,◯,27:08:00,6,3,9,33.30%,0,1,0.00%,0,0,0.00%,0,4,4,4,4,1,0,1,4,0,0,5
2017.11.11,14,0,SEASON,横浜 VS 富山,◯,42:08:00,30,12,22,54.50%,0,1,0.00%,6,7,85.70%,2,7,9,10,1,1,1,0,2,9,0,39
