"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","TEAM.A","TEAM.B"
"1","14","22","12","22","70","26","53","49.1%","3","17","17.6%","9","19","47.4%","17","29","46","17","11","5","3","12","2","1","42","4","11","10-0(69-70)","26","16","12","18","72","18","37","48.6%","10","25","40%","6","6","100%","4","28","32","17","12","6","3","17","8","12","16","9","2","8-0(8-0)",1,"9.24","êÏçË","éOâì"
"2","19","15","19","12","65","23","45","51.1%","2","15","13.3%","13","18","72.2%","9","24","33","7","15","5","2","15","6","7","40","8","4","11-0(42-47)","17","19","10","25","71","23","37","62.2%","5","21","23.8%","10","14","71.4%","8","27","35","9","14","7","1","20","4","10","30","10","4","9-0(13-3)",2,"9.25","êÏçË","éOâì"
"3","27","22","12","26","87","25","52","48.1%","10","28","35.7%","7","7","100%","15","20","35","19","7","11","1","17","8","16","38","8","11","7-0(22-14)","18","17","24","26","85","25","43","58.1%","8","15","53.3%","11","18","61.1%","7","28","35","11","14","6","1","15","4","4","36","7","2","9-0(81-80)",3,"9.30","êÏçË","â°ïl"
"4","28","22","26","16","92","25","39","64.1%","8","23","34.8%","18","22","81.8%","8","21","29","19","11","8","2","15","6","24","44","15","11","9-0(59-41)","18","21","15","25","79","26","42","61.9%","6","18","33.3%","9","12","75%","9","24","33","14","17","7","2","22","0","2","34","4","14","7-0(41-32)",4,"10.01","êÏçË","â°ïl"
"5","22","28","30","23","103","30","48","62.5%","12","23","52.2%","7","11","63.6%","13","31","44","23","13","5","3","14","4","40","56","13","11","12-0(50-25)","21","7","17","25","70","23","49","46.9%","5","15","33.3%","9","11","81.8%","5","19","24","12","11","9","4","19","8","2","34","7","8","9-0(22-21)",5,"10.07","êÏçË","êVäÉ"
"6","23","18","22","14","77","26","42","61.9%","5","20","25%","10","13","76.9%","10","37","47","15","14","3","4","17","0","27","44","2","17","14-0(53-26)","12","14","12","25","63","17","44","38.6%","6","22","27.3%","11","13","84.6%","7","23","30","8","6","14","3","15","2","0","28","12","2","6-0(68-49)",6,"10.08","êÏçË","êVäÉ"
"7","25","17","22","25","89","24","37","64.9%","7","23","30.4%","20","23","87%","13","27","40","15","12","8","0","14","8","17","40","9","6","17-0(30-42)","26","9","19","20","74","19","34","55.9%","10","30","33.3%","6","7","85.7%","9","15","24","13","11","6","3","18","5","5","34","5","4","9-0(23-20)",7,"10.15","êÏçË","SRèaíJ"
"8","21","11","19","17","68","22","43","51.2%","5","18","27.8%","9","13","69.2%","17","25","42","14","15","9","2","9","10","14","42","10","11","12-0(43-51)","18","20","5","13","56","15","31","48.4%","7","30","23.3%","5","9","55.6%","15","20","35","12","13","6","1","14","6","8","22","8","9","7-0(15-15)",8,"10.16","êÏçË","SRèaíJ"
"9","20","12","24","18","74","27","42","64.3%","2","18","11.1%","14","22","63.6%","10","29","39","16","14","4","3","16","6","14","46","12","10","17-0(51-38)","16","20","12","24","72","21","55","38.2%","7","17","41.2%","9","10","90%","15","24","39","18","11","7","0","23","14","5","38","15","16","8-0(30-33)",9,"10.21","êÏçË","ïxéR"
"10","21","33","27","31","112","36","50","72%","7","14","50%","19","25","76%","6","32","38","25","11","6","5","20","10","24","56","8","6","9-0(58-51)","22","29","16","23","90","20","43","46.5%","14","27","51.9%","8","14","57.1%","8","15","23","19","9","7","0","23","4","6","32","9","6","8-0(29-35)",10,"10.22","êÏçË","ïxéR"
"11","22","15","14","30","81","20","47","42.6%","8","22","36.4%","17","21","81%","12","29","41","17","10","6","4","15","7","11","36","5","6","9-0(79-83)","13","18","29","27","87","23","43","53.5%","11","23","47.8%","8","13","61.5%","7","31","38","20","13","4","3","19","10","13","42","8","5","8-0(42-46)",11,"10.28","êÏçË","éOâì"
"12","24","12","24","24","84","27","49","55.1%","6","20","30%","12","17","70.6%","15","25","40","16","7","7","2","20","0","30","44","13","15","9-0(45-27)","17","10","11","28","66","21","41","51.2%","6","19","31.6%","6","13","46.2%","11","24","35","10","16","3","3","15","2","1","36","3","15","11-0(84-66)",12,"10.29","êÏçË","éOâì"
"13","28","15","13","27","83","19","30","63.3%","11","24","45.8%","12","16","75%","3","28","31","18","13","3","3","18","6","18","32","7","3","12-0(2-16)","16","20","26","19","81","30","56","53.6%","3","17","17.6%","12","16","75%","14","22","36","10","4","8","2","15","2","8","34","8","7","11-0(40-43)",13,"11.05","êÏçË","â°ïl"
"14","33","21","24","17","95","19","34","55.9%","16","24","66.7%","9","13","69.2%","8","25","33","25","14","4","1","16","6","40","32","13","6","12-0(11-30)","13","6","24","16","59","18","41","43.9%","4","17","23.5%","11","12","91.7%","10","16","26","13","15","9","4","14","4","1","26","6","2","4-0(4-3)",14,"11.06","êÏçË","â°ïl"
"15","27","27","23","18","95","22","42","52.4%","10","19","52.6%","21","24","87.5%","10","29","39","26","16","6","3","14","0","25","38","2","9","8-0(7-15)","21","17","16","25","79","19","40","47.5%","9","27","33.3%","14","16","87.5%","10","19","29","13","13","11","4","22","7","0","30","10","6","10-0(71-83)",15,"11.19","êÏçË","êVäÉ"
"16","22","16","22","23","83","19","35","54.3%","10","22","45.5%","15","20","75%","8","33","41","14","17","3","7","14","2","12","26","9","8","8-0(58-68)","23","13","22","22","80","24","48","50%","8","28","28.6%","8","11","72.7%","13","22","35","15","8","10","4","20","10","2","42","9","10","9-0(69-72)",16,"11.20","êÏçË","êVäÉ"
"17","24","23","25","15","87","26","38","68.4%","10","22","45.5%","5","11","45.5%","5","27","32","20","8","8","5","16","14","22","46","10","2","16-0(75-53)","17","18","18","18","71","17","38","44.7%","10","28","35.7%","7","10","70%","13","21","34","13","13","5","2","14","0","2","18","9","6","5-0(22-17)",17,"11.23","êÏçË","SRèaíJ"
