"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","TEAM.A","TEAM.B"
"1","20","21","12","25","78","24","48","50%","5","15","33.3%","15","20","75%","12","29","41","24","19","8","2","22","16","15","40","12","11","13-0(21-33)","19","9","26","29","83","26","49","53.1%","5","17","29.4%","16","24","66.7%","9","26","35","19","10","14","3","21","22","5","46","19","10","16-0(52-49)",1,"9.30","ñkäCìπ","ïxéR"
"2","19","19","13","34","85","21","44","47.7%","7","23","30.4%","22","25","88%","13","18","31","20","9","11","3","17","13","4","28","19","13","10-0(69-57)","25","21","23","14","83","23","40","57.5%","9","19","47.4%","10","12","83.3%","11","26","37","21","18","3","6","25","9","22","38","8","16","10-0(20-14)",2,"10.01","ñkäCìπ","ïxéR"
"3","20","24","18","24","86","21","41","51.2%","9","19","47.4%","17","22","77.3%","11","28","39","21","17","13","1","19","16","19","34","24","9","10-0(86-67)","21","16","8","22","67","18","47","38.3%","7","17","41.2%","10","16","62.5%","14","20","34","15","19","7","2","19","5","8","30","16","16","10-0(69-61)",3,"10.08","ñkäCìπ","â°ïl"
"4","24","25","19","21","89","26","48","54.2%","4","19","21.1%","25","30","83.3%","9","24","33","28","9","11","3","28","18","22","34","18","4","12-0(18-6)","13","16","23","30","82","20","40","50%","6","15","40%","24","32","75%","7","30","37","16","17","6","2","25","15","2","36","11","10","8-0(75-67)",4,"10.09","ñkäCìπ","â°ïl"
"5","23","21","24","27","95","31","48","64.6%","7","19","36.8%","12","15","80%","13","23","36","25","9","7","4","20","9","16","48","11","13","11-0(74-65)","28","21","16","14","79","21","40","52.5%","6","16","37.5%","19","24","79.2%","8","16","24","17","9","3","1","15","1","10","34","14","11","9-0(8-17)",5,"10.15","ñkäCìπ","êÏçË"
"6","28","15","10","17","77","20","46","43.5%","9","26","34.6%","10","12","83.3%","9","29","38","18","12","10","4","29","13","16","26","18","8","13-0(18-14)","18","16","19","17","80","17","41","41.5%","4","22","18.2%","34","42","81%","18","35","53","13","17","7","0","16","7","9","30","16","15","10-0(53-59)",6,"10.16","ñkäCìπ","êÏçË"
"7","14","26","13","31","84","20","42","47.6%","7","23","30.4%","23","27","85.2%","11","21","32","24","8","14","0","19","14","3","28","18","17","10-0(69-63)","29","16","23","13","81","18","36","50%","9","21","42.9%","18","23","78.3%","10","28","38","16","19","4","1","23","10","17","24","11","10","13-0(65-48)",7,"10.21","ñkäCìπ","êVäÉ"
"8","21","18","16","30","85","23","41","56.1%","5","16","31.3%","24","27","88.9%","9","24","33","15","8","7","1","18","13","10","34","15","14","9-0(16-25)","16","27","14","22","79","15","33","45.5%","11","32","34.4%","16","18","88.9%","16","23","39","16","13","4","1","22","9","9","26","10","19","16-0(41-32)",8,"10.22","ñkäCìπ","êVäÉ"
"9","12","10","26","20","68","24","49","49%","3","23","13%","11","14","78.6%","15","20","35","19","10","10","3","16","12","2","34","16","18","10-0(72-56)","28","25","19","17","89","24","40","60%","11","28","39.3%","8","15","53.3%","14","32","46","22","15","7","5","14","13","36","38","12","19","13-0(48-19)",9,"10.25","ñkäCìπ","êÁót"
"10","14","19","20","23","76","23","39","59%","6","16","37.5%","12","21","57.1%","10","21","31","19","18","8","3","14","9","7","36","11","9","6-0(6-0)","16","22","25","24","87","27","48","56.3%","7","18","38.9%","12","16","75%","12","19","31","20","10","11","3","23","19","16","48","28","18","13-0(53-65)",10,"10.28","ñkäCìπ","ì»ñÿ"
"11","21","30","12","29","92","22","44","50%","11","17","64.7%","15","19","78.9%","12","25","37","23","11","5","2","14","10","29","36","13","10","12-0(75-51)","20","16","13","18","67","24","46","52.2%","4","18","22.2%","7","10","70%","12","17","29","17","14","6","0","20","12","4","36","11","13","6-0(11-15)",11,"10.29","ñkäCìπ","ì»ñÿ"
"12","14","21","21","21","77","23","48","47.9%","6","16","37.5%","13","16","81.3%","11","30","41","21","11","8","0","18","17","26","32","24","12","20-0(17-40)","14","3","15","19","51","16","32","50%","3","27","11.1%","10","13","76.9%","11","25","36","15","19","5","5","18","3","2","28","7","16","6-0(8-6)",12,"11.04","ñkäCìπ","óÆãÖ"
"13","17","14","21","19","71","22","42","52.4%","8","26","30.8%","3","5","60%","8","18","26","20","12","12","0","18","11","0","36","13","12","7-0(56-36)","24","32","26","16","98","23","35","65.7%","15","25","60%","7","16","43.8%","8","31","39","26","16","8","3","14","20","32","42","22","12","17-0(43-20)",13,"11.05","ñkäCìπ","óÆãÖ"
"14","15","21","14","17","67","19","50","38%","5","21","23.8%","14","15","93.3%","13","30","43","15","12","5","6","17","10","7","32","8","15","7-0(24-35)","25","19","14","19","77","19","50","38%","9","23","39.1%","12","16","75%","17","35","52","17","12","7","3","16","5","18","30","15","11","13-0(9-15)",14,"11.13","ñkäCìπ","SRèaíJ"
