"Seq","League","Area","Team","Name","Position_Raw","School","Hometown","Birthday_Raw","Birthday","Height_Raw","Height","Weight_Raw","Weight","Nationality","PlayerId","Position"
"1","B1","東地区","北海道","関野 剛平","ポジション / SG/SF","東海大学","北海道","1994年8月1日","1994-08-01","183cm",183,"80kg",80,"日本",10850,"SG/SF"
"2","B1","東地区","北海道","山本 柊輔","ポジション / PG","筑波大学","静岡県","1993年11月4日","1993-11-04","176cm",176,"74kg",74,"日本",8614,"PG"
"3","B1","東地区","北海道","牧 全","ポジション / SG","ソノマ州立大学","愛知県","1992年6月16日","1992-06-16","188cm",188,"86kg",86,"日本",8506,"SG"
"4","B1","東地区","北海道","多嶋 朝飛","ポジション / PG","東海大学","北海道","1988年10月8日","1988-10-08","173cm",173,"71kg",71,"日本",8507,"PG"
"5","B1","東地区","北海道","折茂 武彦","ポジション / SG","日本大学","埼玉県","1970年5月14日","1970-05-14","190cm",190,"77kg",77,"日本",8508,"SG"
"6","B1","東地区","北海道","市岡 ショーン","ポジション / PF","サンディエゴ・ミラマー大学","アメリカ合衆国","1991年4月3日","1991-04-03","198cm",198,"96kg",96,"日本",8597,"PF"
"7","B1","東地区","北海道","桜井 良太","ポジション / SF","愛知学泉大学","三重県","1983年3月13日","1983-03-13","194cm",194,"85kg",85,"日本",8509,"SF"
"8","B1","東地区","北海道","デイビッド・ドブラス","ポジション / C","バルセロナ大学","スペイン","1981年8月6日","1981-08-06","206cm",206,"130kg",130,"スペイン",18396,"C"
"9","B1","東地区","北海道","マーク・トラソリーニ","ポジション / PF/C","サンタクララ大学","アメリカ","1990年6月21日","1990-06-21","206cm",206,"109kg",109,"アメリカ合衆国",12595,"PF/C"
"10","B1","東地区","北海道","川邉 亮平","ポジション / SF","白鴎大学","富山県","1995年3月12日","1995-03-12","188cm",188,"85kg",85,"日本",10880,"SF"
"11","B1","東地区","北海道","野口 大介","ポジション / PF","日本体育大学","北海道","1983年5月26日","1983-05-26","196cm",196,"90kg",90,"日本",8512,"PF"
"12","B1","東地区","北海道","松島 良豪","ポジション / PG","国士舘大学","沖縄県","1992年2月3日","1992-02-03","185cm",185,"78kg",78,"日本",8513,"PG"
"13","B1","東地区","秋田","野本 建吾","ポジション / SF/PF","青山学院大学","兵庫県","1992年4月25日","1992-04-25","200cm",200,"99kg",99,"日本",8486,"SF/PF"
