"RANK","PLAYER","TEAM","G","GS","MIN","MINPG","PPG","FGMPG","FGAPG","FG%","2FGMPG","2FGAPG","2FG%","3FGMPG","3FGAPG","3FG%","FTMPG","FTAPG","FT%","ORPG","DRPG","RPG","APG","TOPG","STPG","BSPG","BSRPG","FPG","FDPG","EFFPG","PLUSMINUS","POSITION"
1,"マイルズ・ヘソン","富山",22,8,629.9,28.6,22.9,7.0,15.6,"45.1%",4.6,8.9,"51.5%",2.5,6.7,"36.5%",6.3,7.5,"84.8%",1.4,4.3,5.7,3.2,3.9,1.8,0.7,0.6,2.4,6.2,23.9,-3.3,"SF/PF"
2,"ペリン・ビュフォード","島根",58,58,2051.2,35.4,22.5,8.1,17.1,"47.2%",6.8,13.5,"50.4%",1.3,3.6,"35.1%",5.1,6.5,"77.9%",1.2,8.3,9.5,7.9,3.1,1.5,0.9,0.6,2.2,5.8,31.6,7.8,"SF"
3,"ニック・ファジーカス","川崎",58,56,1823.5,31.4,20.8,8.0,15.5,"51.5%",6.6,12.1,"54.8%",1.4,3.4,"40.0%",3.4,4.1,"83.7%",2.0,8.0,9.9,4.5,3.2,1.0,0.2,0.3,1.6,3.7,26.8,5.5,"C"
4,"ダバンテ・ガードナー","三河",60,34,1871.3,31.2,20.8,7.5,14.8,"51.0%",6.4,11.1,"58.0%",1.1,3.7,"30.2%",4.6,5.4,"84.9%",1.8,6.5,8.3,3.6,2.0,0.9,0.4,0.4,2.1,4.8,26.1,0.6,"C/PF"
5,"トレイ・ジョーンズ","群馬",51,48,1435.0,28.1,20.3,6.9,12.9,"53.5%",5.8,10.2,"56.9%",1.1,2.7,"40.7%",5.3,6.0,"88.8%",0.5,3.6,4.1,4.8,2.9,0.9,0.4,0.5,2.5,6.2,23.9,2.6,"SF"
6,"ブライス・ジョンソン","富山",33,27,964.9,29.2,19.7,7.7,14.5,"53.1%",6.6,11.4,"58.4%",1.1,3.2,"34.3%",3.2,4.4,"72.2%",2.3,8.1,10.4,2.1,2.9,0.9,1.0,0.7,2.5,3.5,23.3,-6.4,"PF"
7,"河村 勇輝","横浜BC",52,50,1469.1,28.3,19.5,6.7,15.7,"42.3%",3.9,7.7,"50.5%",2.8,8.0,"34.4%",3.4,4.2,"80.8%",0.4,2.9,3.4,8.5,3.1,1.5,0.1,0.5,1.9,3.9,21.3,4.7,"PG"
8,"D.J・ニュービル","大阪",60,60,2001.6,33.4,19.4,6.5,13.5,"48.2%",3.8,6.4,"59.7%",2.7,7.1,"37.7%",3.7,5.0,"75.4%",0.6,3.5,4.2,5.5,2.5,1.4,0.1,0.5,2.2,5.2,22.3,-0.7,"PG/SG"
9,"コティ・クラーク","名古屋D",53,51,1575.2,29.7,19.3,7.2,14.3,"50.3%",4.6,8.1,"57.1%",2.6,6.2,"41.5%",2.3,2.9,"78.6%",1.6,5.2,6.9,4.5,2.3,1.2,0.3,0.4,2.3,2.7,22.0,8.6,"PF"
10,"コフィ・コーバーン","新潟",49,43,1581.1,32.3,19.0,7.9,13.9,"57.0%",7.9,13.9,"57.1%",0.0,0.0,"0.0%",3.1,5.1,"60.7%",4.9,7.4,12.3,1.9,2.4,0.7,0.8,0.7,2.0,4.9,26.4,-7.9,"C"
